"","AdOnset_Weibull_Shape","AdOnset_Weibull_Scale","AdOnsetPropensity_Gamma_Alpha","AdNaturalHistoryPropensity_Gaussian_Variance","AdNaturalHistoryPropensity_PreclinCancerProg_TampingTerm","AdNaturalHistoryPropensity_CancerOnset_TampingTerm","AdGrowth_Janoschek_Inflection","AdGrowth_Janoschek_Rate_P","AdGrowth_Janoschek_Rate_D","AdGrowth_Janoschek_Rate_R","PreclinCancerProg_Exp_Rate_P","PreclinCancerProg_Exp_Rate_D","PreclinCancerProg_Exp_Rate_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","pSxDetS2_P","pSxDetS2_D","pSxDetS2_R","pSxDetS3_P","pSxDetS3_D","pSxDetS3_R","pSxDetS4_P","pSxDetS4_D","pSxDetS4_R"
"3199",2.36862858349375,4.10138642251027e-05,0.466607604539573,0.516200631272625,4.49307435672713,6.15422809105608,0.448408735241845,0.0540239582251365,0.0545588073489421,0.0604463884064341,0.200921697101622,0.191798530698534,0.212028317002374,0.00783197211987608,0.0127184058770346,0.0115839748181755,0.00538151557270672,0.0325661411136497,0.00220519182167348,0.043769572115788,0.0710362030432528,0.1667461592674,0.390514863321867,0.360968553321096,0.318872581482185,0.694690371667699,0.666681373519561,0.824976395835668,0.988093345527757,0.904317700454057,0.983139265904895
"3200",2.22031261870909,8.480647233293e-05,0.478024448953658,0.655273218701518,3.6374391303133,3.65778748289603,0.442357527874786,0.053928175701256,0.0522138489877464,0.0649888808210487,0.187940952170175,0.187963300806756,0.19754581845067,0.00375634671208398,0.017505910329564,0.000969222259631729,0.0414169479020138,0.0280737776353327,0.00730544394303465,0.0474172831028427,0.0798558292710574,0.138598882966618,0.379804899672286,0.352058756592387,0.355905112626187,0.745880497054171,0.729659715254579,0.73583573557055,0.92740637702387,0.91992885343521,0.944115519309556
"3204",2.1038118003086,0.000139207797086978,0.481717496204401,0.331431283658716,4.97604732323726,6.21006899620984,0.474663546675008,0.0461649583472195,0.0465773488138589,0.0584199652337724,0.239634382662929,0.214511844384338,0.193780103384123,0.0166533214613885,0.00392193150960049,0.0022906714134574,0.0343162560813604,0.0216070839312287,0.0134276151331139,0.0587638792964432,0.0807592333447283,0.112135213570094,0.49961541669966,0.380861410053737,0.336530053628252,0.859067153704548,0.688165032605759,0.690338502582177,0.982204610696933,0.923430340857681,0.966687962969953
"3208",2.38499674363055,4.21425014249145e-05,0.497040197818358,0.632449482996767,4.49470525182936,3.1795182462005,0.399939462510349,0.0587010042473183,0.0660599312573256,0.0642317467080387,0.198353363503847,0.206073726957883,0.220724929072128,0.0109690261682842,0.00643089113148279,0.00632147275481132,0.00827886637100532,0.0534701685185298,0.00248939210466493,0.0419592297406294,0.0892906574326752,0.185458888238786,0.387734232252515,0.43665513129698,0.370061755251735,0.711566354646066,0.730316512379284,0.853094502759476,0.979744756790208,0.927224734256593,0.962610419507561
"3209",1.93547064176999,0.000272069176489864,0.539178429256319,0.863102874958304,5.1555371886944,7.38634373911461,0.471016044200472,0.0512345741388647,0.0442983810747895,0.0393951038299522,0.197078654330309,0.204263557993914,0.195072432946481,0.00166128714306348,0.0268710135384332,0.00616653711128167,0.0149357612851889,0.0564718286495728,0.0460768442447888,0.0462958157071123,0.0945354268467166,0.153636895362961,0.35599235094774,0.416330202265953,0.35244458954917,0.70589299839032,0.727972637905308,0.775612791665093,0.967010038044017,0.957939767805771,0.916570431099472
"3210",2.34286009559072,4.05250584246968e-05,0.555479653666183,0.738240103514326,4.85131902226684,11.5938303585519,0.478471130959713,0.0484910082792418,0.0461164557521741,0.0491866242015718,0.194168165808836,0.196903308249568,0.214875759516124,0.00803009147373642,0.0121665274545427,0.0131630833094381,0.0124301528927437,0.0496579303434943,0.0100359157529013,0.0405457802015326,0.07795555675668,0.171601387007909,0.367150843150743,0.400056584280956,0.344523849276638,0.652171058593416,0.675819595097265,0.894930439179464,0.990279238146828,0.926224270742574,0.925232308164682
"3211",2.24441920971375,7.77734995015541e-05,0.521224988040944,0.782630712252281,3.75912165954451,4.11793948651821,0.434039472279541,0.0495360064076172,0.0502074995010566,0.0596130371345837,0.185709493398125,0.186477624145035,0.198057323024738,0.00407139024083483,0.0192542609687701,0.00109843967464442,0.0347314627313041,0.0260681278889624,0.00784797235443157,0.0469182122449596,0.0786173723115508,0.151810379919949,0.402316290665742,0.364194112007138,0.363509066315611,0.707177105807685,0.745316791403487,0.81546302991679,0.976270029065419,0.999016037191648,0.919701113383903
"3213",1.93067916670684,0.000332778784679855,0.439424531164372,0.282814024848659,2.62826712198132,1.27006888229028,0.520566292069781,0.0443576007804314,0.0543300307682966,0.0490530265045681,0.197577270295345,0.198081869936558,0.209274776936356,0.00236377913798272,0.025993907317806,0.000886245836370053,0.0252615795861264,0.0263036928466443,0.00519066925840883,0.0486520312342788,0.0747303518229386,0.152706095576871,0.367691293326232,0.350433601722323,0.365818766235281,0.741233746064115,0.711381495629356,0.873563406610401,0.978005762986933,0.932649516415637,0.918264910744707
"3214",1.91675977352018,0.000297340111666827,0.483169066666613,0.589119035454967,3.59965777683829,2.32147680595673,0.417902607124819,0.0637289372951007,0.0568143708063813,0.068023675685251,0.192436938403256,0.224593666937153,0.189820651084516,0.00240264322935652,0.0183008390151579,0.00060585468597019,0.0449259456351423,0.031641337733799,0.00268124250479086,0.0455523596292166,0.108773380755057,0.129444960243265,0.350366124524752,0.498141535053596,0.343424973531691,0.731294402455957,0.854664638427863,0.724138170588963,0.93034945124806,0.970876783248541,0.984978022636377
"3215",2.22975398701425,8.7164305783319e-05,0.479896022158616,0.697493760552849,3.73246986269404,6.95474352296315,0.401646625770178,0.0619228899717827,0.0580859003418438,0.0658011631398245,0.191595693485786,0.203604984539471,0.166854365131707,0.00467953667601836,0.0124378924308039,0.00123664059244707,0.0363758033874452,0.0176860898689525,0.0174732040276732,0.0399186847145186,0.0928172787649843,0.113399114133861,0.403663654734969,0.413171072287269,0.288544172417803,0.702546099531951,0.77621741578189,0.672170923375293,0.932321901563908,0.924539404968412,0.929011491925296
