"iter","draw","step","Corley_adeno_prev_male_50_54","Corley_adeno_prev_male_55_59","Corley_adeno_prev_male_60_64","Corley_adeno_prev_male_65_69","Corley_adeno_prev_male_70_74","Corley_adeno_prev_male_75plus","Corley_adeno_prev_fem_50_54","Corley_adeno_prev_fem_55_59","Corley_adeno_prev_fem_60_64","Corley_adeno_prev_fem_65_69","Corley_adeno_prev_fem_70_74","Corley_adeno_prev_fem_75plus","UKFSS_screen_det_crc_male","UKFSS_screen_det_crc_fem","SEER_inc_colon_fem_20_49","SEER_inc_colon_fem_50_59","SEER_inc_colon_fem_60_69","SEER_inc_colon_fem_70_84","SEER_inc_colon_fem_85_100","SEER_inc_colon_male_20_49","SEER_inc_colon_male_50_59","SEER_inc_colon_male_60_69","SEER_inc_colon_male_70_84","SEER_inc_colon_male_85_100","SEER_inc_rectal_fem_20_49","SEER_inc_rectal_fem_50_59","SEER_inc_rectal_fem_60_69","SEER_inc_rectal_fem_70_84","SEER_inc_rectal_fem_85_100","SEER_inc_rectal_male_20_49","SEER_inc_rectal_male_50_59","SEER_inc_rectal_male_60_69","SEER_inc_rectal_male_70_84","SEER_inc_rectal_male_85_100","Pickhardt_pct_adeno_lt_6mm","Pickhardt_pct_adeno_6_to_lt10mm","Pickhardt_pct_adeno_10plusmm","Church_pct_crc_6_to_lt10mm","Church_pct_crc_10plusmm","Lieberman_pct_crc_6_to_lt10mm","Lieberman_pct_crc_10plusmm","actual_iter"
1,5541,0,0.307,0.3296,0.3517,0.3712,0.3952,0.4109,0.2108,0.2281,0.2445,0.2595,0.2815,0.3051,0.0036,0.0027,0,4e-04,0.001,0.0017,0.0028,0,5e-04,0.0011,0.0022,0.0031,0,3e-04,5e-04,7e-04,7e-04,0,3e-04,6e-04,9e-04,0.0011,0.5738,0.2529,0.1734,0.0048,0.0325,0.0046,0.0471,1
1,5544,0,0.3071,0.3335,0.3505,0.3641,0.3906,0.4062,0.2155,0.2318,0.2439,0.2622,0.2768,0.2891,0.0018,0.0011,0,4e-04,9e-04,0.0017,0.0027,0,5e-04,0.0012,0.0023,0.0035,5.7545e-06,1e-04,1e-04,3e-04,5e-04,8.3147e-06,1e-04,3e-04,5e-04,8e-04,0.5517,0.2867,0.1616,0.0048,0.0201,0.0054,0.0321,1
1,5554,0,0.2477,0.2596,0.2802,0.2957,0.32,0.3352,0.1697,0.1832,0.1975,0.2111,0.2189,0.2345,0.0036,0.0025,0,4e-04,0.001,0.0018,0.0024,0,4e-04,9e-04,0.0019,0.0029,0,3e-04,5e-04,5e-04,8e-04,1e-04,5e-04,7e-04,9e-04,9e-04,0.5763,0.2613,0.1624,0.0083,0.0392,0.0077,0.057,1
1,5558,0,0.2493,0.2632,0.288,0.304,0.3246,0.3379,0.1576,0.1802,0.1903,0.2049,0.2217,0.2253,0.0027,0.0015,0,6e-04,0.0011,0.0018,0.0024,1e-04,6e-04,0.0014,0.0022,0.0036,0,2e-04,2e-04,4e-04,4e-04,0,3e-04,5e-04,7e-04,8e-04,0.577,0.2481,0.1749,0.0086,0.04,0.009,0.0536,1
1,5569,0,0.2674,0.2891,0.3155,0.3258,0.3449,0.3598,0.1831,0.1934,0.212,0.2257,0.2365,0.2434,0.0037,0.0024,0,5e-04,0.0011,0.0017,0.0027,0,5e-04,0.0013,0.0021,0.0034,0,3e-04,5e-04,5e-04,6e-04,1e-04,5e-04,8e-04,8e-04,9e-04,0.5863,0.2649,0.1488,0.0087,0.0376,0.0091,0.0522,1
1,5570,0,0.2628,0.2866,0.293,0.3154,0.3347,0.3446,0.1724,0.1853,0.1941,0.2124,0.2246,0.2315,0.0028,0.0018,0,5e-04,0.0011,0.0016,0.0022,1e-04,6e-04,0.0015,0.0022,0.003,0,2e-04,4e-04,5e-04,6e-04,0,3e-04,6e-04,7e-04,9e-04,0.5645,0.2554,0.1801,0.0086,0.0308,0.0098,0.0447,1
1,5577,0,0.2456,0.2723,0.2866,0.3079,0.3237,0.3369,0.1653,0.1876,0.1983,0.2095,0.2246,0.2425,0.0035,0.0025,0,5e-04,0.001,0.0015,0.0022,0,5e-04,0.0011,0.0019,0.0028,1e-04,3e-04,5e-04,6e-04,9e-04,1e-04,5e-04,7e-04,9e-04,0.0013,0.5549,0.2758,0.1693,0.0099,0.0426,0.0091,0.0548,1
1,5584,0,0.2828,0.3119,0.3197,0.338,0.3455,0.3552,0.1885,0.2008,0.2126,0.2266,0.241,0.2488,0.0051,0.0032,0,5e-04,0.0012,0.0017,0.0025,1e-04,7e-04,0.0015,0.0024,0.0036,1e-04,4e-04,7e-04,6e-04,9e-04,1e-04,7e-04,0.001,0.0011,0.0011,0.5772,0.2568,0.166,0.011,0.0513,0.0109,0.068,1
1,5587,0,0.2629,0.2823,0.3073,0.3334,0.3485,0.3667,0.1718,0.1825,0.2027,0.2103,0.2279,0.2479,0.0032,0.0019,0,5e-04,0.001,0.0018,0.0025,0,6e-04,0.0013,0.0025,0.0037,7.0323e-06,1e-04,3e-04,5e-04,5e-04,0,4e-04,7e-04,0.001,0.0011,0.5758,0.244,0.1802,0.0085,0.0403,0.0075,0.0526,1
1,5589,0,0.2853,0.3096,0.3273,0.3523,0.3697,0.3981,0.1868,0.2103,0.2297,0.2466,0.2578,0.274,0.0034,0.0022,0,4e-04,0.001,0.0018,0.0032,0,4e-04,0.001,0.0019,0.003,0,2e-04,4e-04,5e-04,6e-04,0,4e-04,7e-04,0.0011,0.0016,0.5607,0.2789,0.1604,0.0084,0.0398,0.0091,0.0497,1
